text,agenda,question
цель,Вопрос,1
место,Вопрос,1
как погода ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как идти дело ?,Вопрос,1
как оно ?,Вопрос,1
как оно ?,Вопрос,1
что заниматься ?,Вопрос,1
что заниматься весь этот время ?,Вопрос,1
что заниматься весь этот время ?,Вопрос,1
что такой особенный в этот вопрос и ответ ?,Вопрос,1
что особенный ?,Вопрос,1
что такой особенный ?,Вопрос,1
"oh , it ’ s been really great . no complaints here ! and how ’ s it going for you ?",Вопрос,1
what,Вопрос,1
which,Вопрос,1
where,Вопрос,1
when,Вопрос,1
who,Вопрос,1
why,Вопрос,1
how long,Вопрос,1
how,Вопрос,1
how much,Вопрос,1
how many,Вопрос,1
whose,Вопрос,1
whom,Вопрос,1
что   ты хотеть на свой день рождение ?,Вопрос,1
какой   аудитория твой ?,Вопрос,1
куда   ты планировать путешествовать ?,Вопрос,1
когда   быть твой экзамен ?,Вопрос,1
кто   собираться навещать люся ?,Вопрос,1
почему   ты ходить в парк вчера ?,Вопрос,1
как долго   ты оставаться в лондон ?,Вопрос,1
как   ты удаваться получать этот диплом ?,Вопрос,1
сколько   человек   в твой офис ?,Вопрос,1
сколько   деньги   ты нужно ?,Вопрос,1
чей   это машина ?,Вопрос,1
кто   ты звонить прошлый ночь ?,Вопрос,1
кто   приводить   твой сестра в школа ?,Вопрос,1
что   заставлять   ты улыбаться ?,Вопрос,1
whom   did you call last night ?,Вопрос,1
who   brought   your sister to school ?,Вопрос,1
what   makes   you smile ?,Вопрос,1
how much   money   do you need ?,Вопрос,1
whom   did you call last night ?,Вопрос,1
why   did you go to the park yesterday ?,Вопрос,1
who   is going to visit lucy ?,Вопрос,1
when   was your exam ?,Вопрос,1
where   did you plan to travel ?,Вопрос,1
which   classroom is yours ?,Вопрос,1
what   do you want for your birthday ?,Вопрос,1
откуда вы узнавать о вакансия ?,Вопрос,1
что вы знать о наш компания ?,Вопрос,1
почему мы должный нанимать именно вы ?,Вопрос,1
какой качество помогать вы в работа ?,Вопрос,1
что вы считать свой слабость ?,Вопрос,1
"рассказывать о трудность или конфликт , с который вы сталкиваться на работа , и как вы решать проблема ?",Вопрос,1
где вы видеть себя через пять год ?,Вопрос,1
почему вы уходить с текущий место работа ?,Вопрос,1
вы ходить на собеседование в другой компания ?,Вопрос,1
как вы преодолевать стресс ?,Вопрос,1
как вы преодолевать волнение ?,Вопрос,1
"какой у вы хобби , что вы любить делать ?",Вопрос,1
как руководитель и коллега мочь бы описывать вы ?,Вопрос,1
в какой обстановка вы предпочитать работать ?,Вопрос,1
чего вы ждать от новый работа ?,Вопрос,1
